"","all.trts","NMDS1","NMDS2","Short_label","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","Num_larvae_d00","Num_larvae_d08","Num_larvae_d34","Num_larvae_d40","Total_pupae","Proportion_pupated","Biomass_day30","Biomass_day40","lib_size_clean","is.neg","sample.food","oNMDS1","oNMDS2","distance_from_center"
"1","Larvae_Bamboo_ALL",-1.04376670361168,-0.5131980072316,"LB27","L_D8_B_ALL.5","Larvae",5,"6/30/23",8,"B_ALL.5","B_ALL","ALL","Bamboo","Experiment","All live microbes","",66531,20,13,0,0,13,0.65,3.369,3.369,54106,FALSE,"Larvae_Bamboo",-1.67769014978086,0.400843186213194,1.11235346851483
"2","Larvae_Bamboo_ECO",2.89657357170113,-0.860101820209983,"LB15","L_D8_B_ECO.3","Larvae",5,"6/30/23",8,"B_ECO.3","B_ECO","ECO","Bamboo","Experiment","E. coli only","",12836,20,18,5,4,0,0,0,0,11414,FALSE,"Larvae_Bamboo",2.84491385810513,0.0338884255739671,0.895481594208205
"3","Larvae_Bamboo_EMO",-1.70070840764961,-0.584433151892931,"LB11","L_D8_B_EMO.4","Larvae",5,"6/30/23",8,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",22627,20,16,11,9,3,0.15,0.308,0.308,19508,FALSE,"Larvae_Bamboo",-2.33134478573232,-0.437472194753091,0.647533600892448
"4","Larvae_Bamboo_MEM",-2.25666559133622,0.0634735252841642,"LB21","L_D8_B_MEM.4","Larvae",5,"6/30/23",8,"B_MEM.4","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",54131,20,14,10,3,2,0.1,0.315,0.315,45760,FALSE,"Larvae_Bamboo",-1.84512324718565,0.370111262808542,0.513219059567178
"5","Larvae_Bamboo_MMO",-0.976660248647831,1.61315396955951,"LB3","L_D8_B_MMO.1","Larvae",5,"6/30/23",8,"B_MMO.1","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",69866,20,16,8,5,4,0.2,0.288,0.538,59138,FALSE,"Larvae_Bamboo",-1.35170660570935,1.39121617868586,0.435793704593116
"6","Larvae_Larval food_ALL",-0.496423945400159,1.21742219334208,"LL23","L_D8_L_ALL.1","Larvae",5,"6/30/23",8,"L_ALL.1","L_ALL","ALL","Larval food","Experiment","All live microbes","",55042,20,7,0,0,6,0.3,4.235,4.235,51181,FALSE,"Larvae_Larval food",-0.226212215866566,0.477614987713856,0.787609725864896
"7","Larvae_Larval food_ECO",1.99584513062561,0.46942259064202,"LL14","L_D8_L_ECO.2","Larvae",5,"6/30/23",8,"L_ECO.2","L_ECO","ECO","Larval food","Experiment","E. coli only","",90315,20,12,0,0,18,0.9,10.588,10.588,80370,FALSE,"Larvae_Larval food",2.22198994465596,0.522379193257387,0.23226252102606
"8","Larvae_Larval food_EMO",-1.14894442567175,-0.878196533570584,"LL10","L_D8_L_EMO.3","Larvae",5,"6/30/23",8,"L_EMO.3","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",55881,20,12,0,0,12,0.6,10.172,10.172,48938,FALSE,"Larvae_Larval food",-0.784016599073912,-0.633703354561727,0.439259869789258
"9","Larvae_Larval food_MEM",-0.221464169263975,-0.28542392354921,"LL21","L_D8_L_MEM.4","Larvae",2,"6/30/23",8,"L_MEM.4","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",54577,20,1,0,0,1,0.05,1.039,1.039,43276,FALSE,"Larvae_Larval food",-0.526274568353711,0.0482508200831496,0.451938285533949
"10","Larvae_Larval food_MMO",-0.526659414684993,1.40698193000451,"LL6","L_D8_L_MMO.4","Larvae",5,"6/30/23",8,"L_MMO.4","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",90456,20,6,0,0,22,1.1,18.46,18.46,75795,FALSE,"Larvae_Larval food",-0.462017166514241,1.08503416922206,0.328373234173253
"11","Water_Bamboo_ALL",-0.0488653896776768,-1.46205393345194,"WB32","W_D5_B_ALL.2","Water",NA,"6/27/23",5,"B_ALL.2","B_ALL","ALL","Bamboo","Experiment","All live microbes","",266325,20,18,4,4,0,0,0,0,210286,FALSE,"Water_Bamboo",0.089551771287271,-1.34026849773299,0.184366490455422
"12","Water_Bamboo_ECO",1.77945289411763,0.624955845833281,"WB23","W_D5_B_ECO.5","Water",NA,"6/27/23",5,"B_ECO.5","B_ECO","ECO","Bamboo","Experiment","E. coli only","",100709,20,18,6,4,0,0,0,0,88320,FALSE,"Water_Bamboo",1.77428442182489,0.528163064981225,0.0969306738391669
"13","Water_Bamboo_EMO",0.152687562168018,-1.54779405632931,"WB17","W_D5_B_EMO.5","Water",NA,"6/27/23",5,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",159928,20,15,0,0,18,0.9,3.16,4.085,119584,FALSE,"Water_Bamboo",0.113193161941529,-1.4299180029834,0.12431641726521
"14","Water_Bamboo_MEM",0.0600952731744976,-1.26276714466534,"WB27","W_D5_B_MEM.3","Water",NA,"6/27/23",5,"B_MEM.3","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",197298,20,15,0,0,17,0.85,4.53,5.122,157596,FALSE,"Water_Bamboo",0.0104064271021708,-1.36077484041238,0.109883983590169
"15","Water_Bamboo_MMO",0.357857960099279,1.23782162313434,"WB7","W_D5_B_MMO.1","Water",NA,"6/27/23",5,"B_MMO.1","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",133173,20,16,8,5,4,0.2,0.288,0.538,75733,FALSE,"Water_Bamboo",0.352025341487917,1.02725922090492,0.210643169062018
"16","Water_Larval food_ALL",0.788690428834724,-0.460839507609362,"WL30","W_D5_L_ALL.2","Water",NA,"6/27/23",5,"L_ALL.2","L_ALL","ALL","Larval food","Experiment","All live microbes","",122343,20,2,0,0,7,0.35,5.262,5.262,90987,FALSE,"Water_Larval food",0.716298386790584,-0.327638193931184,0.15160210327338
"17","Water_Larval food_ECO",1.97594821079282,0.512833096396977,"WL19","W_D5_L_ECO.3","Water",NA,"6/27/23",5,"L_ECO.3","L_ECO","ECO","Larval food","Experiment","E. coli only","",134358,20,12,0,0,14,0.7,7.747,7.747,117077,FALSE,"Water_Larval food",1.94402711441513,0.506314255293577,0.0325799276132612
"18","Water_Larval food_EMO",0.485821799775156,-0.893755146862516,"WL13","W_D5_L_EMO.3","Water",NA,"6/27/23",5,"L_EMO.3","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",99916,20,12,0,0,12,0.6,10.172,10.172,73979,FALSE,"Water_Larval food",0.416970080532914,-0.804789782900441,0.11249620094704
"19","Water_Larval food_MEM",0.298741642582554,-0.665157833727681,"WL24","W_D5_L_MEM.2","Water",NA,"6/27/23",5,"L_MEM.2","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",119945,20,0,0,0,0,0,0,0,86062,FALSE,"Water_Larval food",0.23821716706053,-0.610465445772704,0.0815749314276997
"20","Water_Larval food_MMO",0.0348632476596193,0.768457060762131,"WL9","W_D5_L_MMO.5","Water",NA,"6/27/23",5,"L_MMO.5","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",77045,20,5,0,0,10,0.5,7.375,7.375,51746,FALSE,"Water_Larval food",0.189455977875659,0.574288603654566,0.248194081257353
