sample	reads_fwd	reads_rev	bases_fwd	bases_rev	num_contigs	total_length	longest_contig	shortest_contig	N50	N90	ORFs_fwd	ORFs_rev	KEGG_fwd	KEGG_rev
WB25	35931122	35931122	5225990250	5225990250	205807	223503699	1118031	200	1590	415	363389	363035	216921	216724
LB11	63705150	63705150	5142489111	5142489111	98814	70891663	274459	200	711	342	109826	109809	47138	47135
WB17	24399532	24399532	3586486457	3586486457	177894	222390399	488864	200	2217	449	340944	340126	206040	205543
WL15	34847594	34847594	4972661157	4972661157	92989	152237182	1822836	200	6962	492	212277	211668	130980	130599
LL21	47281920	47281920	5484839651	5484839651	566775	314495162	15942	200	564	349	444333	443840	59230	59213
LL8	65329882	65329882	6887843839	6887843839	412644	220451910	249789	200	519	335	315976	315907	54195	54190
WL27	32569508	32569508	4686252962	4686252962	100005	153802316	1163784	200	4941	482	219389	218459	141982	141329
LL19	63562052	63562052	6013968848	6013968848	162158	108449442	428807	200	654	337	173387	173264	68533	68478
WL7	40394566	40394566	5788796376	5788796376	32599	70201186	440775	200	8176	641	89806	89776	61281	61269
LL5	47580578	47580578	5124602199	5124602199	268766	133165138	408985	200	471	327	189121	189094	17548	17548
WL12	41403382	41403382	5916622216	5916622216	139987	207091157	1637852	200	4073	479	298996	298161	189250	188711
LB12	68156452	68156452	6251586590	6251586590	175976	109546282	338660	200	579	338	156815	156793	44337	44332
LB18	61267666	61267666	6425228186	6425228186	347241	225015280	429531	200	615	348	320825	320316	93561	93220
LB20	63854424	63854424	6463000251	6463000251	180148	132920034	429530	200	705	346	188516	188444	67627	67600
WB14	23224650	23224650	3406065525	3406065525	180903	206964046	441236	200	1907	419	331045	330218	202557	202011
LL22	78540076	78540076	7483402550	7483402550	314964	160747519	116691	200	484	327	238149	238133	35032	35032
WB7	34960592	34960592	5048424856	5048424856	70358	114002798	527170	200	7554	519	159471	159384	105123	105064
WL9	39227296	39227296	5599249868	5599249868	37383	59780720	429531	200	9206	486	83081	83044	53747	53730
WL24	34718666	34718666	4965248554	4965248554	102410	182356787	1195121	200	7353	527	245303	244184	153539	152766
WL23	45858954	45858954	6537574003	6537574003	143178	221224442	1238103	200	4419	496	315490	314808	202006	201544
WL11	37060250	37060250	5232061506	5232061506	117746	169816243	1163784	200	4151	466	247466	246971	153237	152925
LL6	65904968	65904968	7524991896	7524991896	531379	287971990	115181	200	537	339	395581	395488	35783	35782
WB11	36307272	36307272	5214280096	5214280096	77260	119331710	526172	200	3642	516	171141	170979	114273	114172
WB29	39054056	39054056	5605231621	5605231621	229140	272458569	985326	200	2148	428	426649	425954	254519	254075
WB8	38320078	38320078	5539415998	5539415998	65982	117484633	822048	200	7661	544	159376	159086	104180	103993
WL14	31396976	31396976	4478123392	4478123392	110926	176688028	1822836	200	4363	505	248205	247408	156699	156257
LL3	66646274	66646274	7102782487	7102782487	369649	195986778	208298	200	507	332	277357	277318	40686	40680
LB7	47348018	47348018	4921805907	4921805907	94973	95408585	429531	200	2361	370	132255	132031	61159	61022
LL9	88886286	88886286	7650037257	7650037257	251054	130271714	69391	202	481	326	193330	193310	35733	35728
LL12	78167410	78167410	7888019353	7888019353	406507	202209750	15230	200	489	330	292974	292952	28812	28812
WL26	44644004	44644004	6421697968	6421697968	122994	199137342	1163784	200	5917	509	278033	277114	171538	170961
LL18	72857472	72857472	6943115601	6943115601	234770	130180452	102733	200	509	328	199133	199103	49134	49129
LB10	72941080	72941080	6992833774	6992833774	227108	134865815	314937	200	551	338	193518	193464	51849	51835
LB22	82713730	82713730	7146750090	7146750090	200913	121171031	515939	203	561	333	181908	181870	61391	61381
WB16	22494098	22494098	3283275953	3283275953	188566	217504126	850311	200	1919	422	347557	346460	217334	216617
WL5	39007052	39007052	5560870135	5560870135	20254	45824183	429531	200	22159	596	57944	57905	38487	38469
LB3	46633636	46633636	4361578992	4361578992	100412	90812577	429388	200	1459	365	131332	131086	65448	65307
LL7	65678042	65678042	7568392962	7568392962	553936	298889330	17223	200	542	340	408704	408600	33307	33307
LB9	64314894	64314894	5186147038	5186147038	125697	73639609	256253	200	526	328	112209	112193	35599	35596
LB4	55172926	55172926	4180235394	4180235394	65277	60617059	429530	200	1495	361	87782	87725	43501	43469
WL8	36154424	36154424	5222487994	5222487994	20764	53595544	585132	200	27331	731	65582	65548	43834	43809
LB19	56987850	56987850	5791353842	5791353842	111105	105628011	406392	200	1677	364	154636	154560	78858	78819
WB27	25223540	25223540	3693217150	3693217150	103565	131208624	314136	200	3084	429	199969	199580	121538	121309
WB15	29574456	29574456	4309378381	4309378381	190687	225321488	560227	200	1959	433	352377	351802	212087	211728
LB21	51421856	51421856	4138030163	4138030163	119297	74416866	199438	200	605	336	130325	130309	59951	59946
LL11	55677618	55677618	5097935748	5097935748	165955	80794624	78505	201	455.00	323	124095	124079	24570	24570
WB9	20809672	20809672	2998949865	2998949865	63703	115781844	526338	200	6081	560	155684	155599	105527	105476
LB5	51235530	51235530	4197579391	4197579391	90098	85277147	535105	200	1550	367	127341	127226	64850	64778